============================ slowest test durations ============================
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.edit_5]
0.11s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.build_1]
0.11s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.script_0]
0.11s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.list_0]
0.11s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.store.list_3]
0.11s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.delete_2]
0.11s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[legacy_profiler.build_suite_7]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_generate_messages_with_defaults
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_22]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.store.list_3]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.new_4]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.new_2]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_2]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_3]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.build_3]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_1]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.clean_2]
0.00s setup    tests/integration/usage_statistics/test_integration_usage_statistics.py::test_send_malformed_data
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[expectation_suite.add_expectation_0]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.list_1]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.new_4]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.profile_1]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.delete_1]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.__init___1]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.init.create_2]
0.00s setup    tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.new_ds_choice_1]
